label,x,y
paw mark,527,204
chimney,431,386
lifebuoy,544,674
number plate,267,523
mailbox,296,583
snowman,82,700
lighthouse,526,423
vines,118,329
kite,264,263
exhaust fan,466,526
dog,464,679
pulley crane,607,399
oxygen tank,121,783
sea urchin,378,1008
search light,151,541
paper crane,608,755
shell,330,950
oar,271,740
bell,296,422
swordfish,550,576
anchor,366,657
shrimp,461,952
basket,90,852
canned food,582,907
Z,399,727
7,200,383
bench,209,601
tent,587,578
mermaid,123,462
sea cucumber,554,968
chain,406,772
trident,116,990
sea turtle,299,772
diving mask,257,933
crab,410,907
ship wheel,346,225
starfish,609,828
arrow,230,480
cave,461,433
tarp,373,532
tarpaulin,373,532
pipe,141,499
ice skates,223,850
corn,253,1010
